bar,arch,regime,direction,fwd_conf,entry,exit,outcome,notional,net_pnl,equity_after
8,B,Ranging,SELL,0.667238712310791,0.6668259747634868,0.6641853623281049,TP,950.0,1.8619737511014007,1001.8619737511013
19,B,Trending_Up,BUY,0.8737283945083618,0.6842168278986323,0.6904108407517738,TP,951.7688750635463,6.712544762004725,1008.5745185131061
47,B,Trending_Up,BUY,0.7183762788772583,0.7133335091524363,0.7075047497315068,SL,958.1457925874507,-9.745450377678292,998.8290681354279
66,B,Trending_Down,SELL,0.790198802947998,0.6803510211073357,0.6741764332381133,TP,948.8876147286564,6.713941036688512,1005.5430091721164
95,B,Trending_Up,BUY,0.8132743239402771,0.687223109540171,0.6838083418498767,SL,955.2658587135105,-6.657186689723774,998.8858224823927
116,B,Trending_Down,SELL,0.9304614663124084,0.6607415806068826,0.6540672385156544,TP,948.941531358273,7.687650208917069,1006.5734726913097
149,B,Trending_Down,SELL,0.7401069402694702,0.62290013081103,0.6265036274943999,SL,956.2447990567441,-7.444395583434365,999.1290771078753
178,B,Trending_Up,BUY,0.7835109829902649,0.6450883925477858,0.6516942543986186,TP,949.1726232524816,7.821412997841341,1006.9504901057167
186,B,Trending_Up,BUY,0.9753010272979736,0.6893719972012696,0.6808703334815,SL,816.5030908394708,-11.702511082736086,995.2479790229805
203,B,Trending_Down,SELL,0.9134214520454407,0.6376822524214986,0.641637920448157,SL,945.4855800718315,-7.756003571747748,987.4919754512327
228,B,Trending_Down,SELL,0.8348601460456848,0.6455632364313754,0.648586171163721,SL,938.1173766786711,-6.2690927120220294,981.2228827392107
