timestamp,datetime,close,funding,oi,buy_ratio
1747893600000,2025-05-22 06:00:00+00:00,110597.7,7.967e-05,,0.4818
1747897200000,2025-05-22 07:00:00+00:00,111034.4,7.967e-05,53961.861,0.4783
1747900800000,2025-05-22 08:00:00+00:00,110400.1,0.0001,53357.494,0.4898
1747904400000,2025-05-22 09:00:00+00:00,110802.3,0.0001,52825.531,0.4846
1747908000000,2025-05-22 10:00:00+00:00,110794.6,0.0001,52794.801,0.4968
1747911600000,2025-05-22 11:00:00+00:00,110972.2,0.0001,52861.357,0.492
1747915200000,2025-05-22 12:00:00+00:00,111611.6,0.0001,53182.043,0.4988
1747918800000,2025-05-22 13:00:00+00:00,110921.2,0.0001,54776.732,0.5031
1747922400000,2025-05-22 14:00:00+00:00,110903.7,0.0001,54920.568,0.497
1747926000000,2025-05-22 15:00:00+00:00,111301.1,0.0001,54815.393,0.5021
1747929600000,2025-05-22 16:00:00+00:00,111269.1,9.599e-05,54846.452,0.5005
1747933200000,2025-05-22 17:00:00+00:00,111501.9,9.599e-05,55273.945,0.4964
1747936800000,2025-05-22 18:00:00+00:00,111732.2,9.599e-05,56428.659,0.4946
1747940400000,2025-05-22 19:00:00+00:00,111200.0,9.599e-05,56399.921,0.4969
1747944000000,2025-05-22 20:00:00+00:00,111071.2,9.599e-05,55625.83,0.4955
1747947600000,2025-05-22 21:00:00+00:00,110834.9,9.599e-05,55283.396,0.4967
1747951200000,2025-05-22 22:00:00+00:00,111022.1,9.599e-05,55650.519,0.497
1747954800000,2025-05-22 23:00:00+00:00,111698.4,9.599e-05,55746.191,0.5033
1747958400000,2025-05-23 00:00:00+00:00,111614.3,2.206e-05,54988.235,0.505
1747962000000,2025-05-23 01:00:00+00:00,111332.2,2.206e-05,55205.812,0.5013
1747965600000,2025-05-23 02:00:00+00:00,111276.4,2.206e-05,55171.085,0.5026
1747969200000,2025-05-23 03:00:00+00:00,111095.6,2.206e-05,54924.272,0.5049
1747972800000,2025-05-23 04:00:00+00:00,110843.6,2.206e-05,55330.091,0.5064
1747976400000,2025-05-23 05:00:00+00:00,110863.3,2.206e-05,55332.99,0.5093
1747980000000,2025-05-23 06:00:00+00:00,110525.4,2.206e-05,55370.412,0.513
1747983600000,2025-05-23 07:00:00+00:00,110723.6,2.206e-05,55519.418,0.5105
1747987200000,2025-05-23 08:00:00+00:00,110934.7,5.364e-05,55553.793,0.5154
1747990800000,2025-05-23 09:00:00+00:00,111326.3,5.364e-05,55843.659,0.5225
1747994400000,2025-05-23 10:00:00+00:00,111068.2,5.364e-05,55711.955,0.5243
1747998000000,2025-05-23 11:00:00+00:00,109089.9,5.364e-05,55858.96,0.5208
1748001600000,2025-05-23 12:00:00+00:00,108439.9,5.364e-05,55872.501,0.5186
1748005200000,2025-05-23 13:00:00+00:00,109639.1,5.364e-05,55075.086,0.5571
1748008800000,2025-05-23 14:00:00+00:00,109670.7,5.364e-05,55456.935,0.5684
1748012400000,2025-05-23 15:00:00+00:00,108950.4,5.364e-05,55139.838,0.5609
1748016000000,2025-05-23 16:00:00+00:00,109077.3,6.534e-05,54440.96,0.5519
1748019600000,2025-05-23 17:00:00+00:00,109411.8,6.534e-05,54483.464,0.5547
1748023200000,2025-05-23 18:00:00+00:00,108797.4,6.534e-05,54427.965,0.5546
1748026800000,2025-05-23 19:00:00+00:00,108715.0,6.534e-05,55024.36,0.5506
1748030400000,2025-05-23 20:00:00+00:00,108245.2,6.534e-05,55013.585,0.553
1748034000000,2025-05-23 21:00:00+00:00,108290.7,6.534e-05,55208.712,0.552
1748037600000,2025-05-23 22:00:00+00:00,107789.0,6.534e-05,55470.826,0.5582
1748041200000,2025-05-23 23:00:00+00:00,107312.7,6.534e-05,55034.38,0.5563
1748044800000,2025-05-24 00:00:00+00:00,107369.2,2.203e-05,55525.849,0.5586
1748048400000,2025-05-24 01:00:00+00:00,107482.2,2.203e-05,55041.886,0.5677
1748052000000,2025-05-24 02:00:00+00:00,107800.0,2.203e-05,55314.103,0.5711
1748055600000,2025-05-24 03:00:00+00:00,108355.5,2.203e-05,55326.76,0.5755
1748059200000,2025-05-24 04:00:00+00:00,108496.0,2.203e-05,55493.672,0.5777
1748062800000,2025-05-24 05:00:00+00:00,108246.8,2.203e-05,55611.355,0.5794
1748066400000,2025-05-24 06:00:00+00:00,107950.0,2.203e-05,55367.051,0.5723
1748070000000,2025-05-24 07:00:00+00:00,107592.7,2.203e-05,54715.869,0.5706
1748073600000,2025-05-24 08:00:00+00:00,108246.7,3.436e-05,54485.381,0.5711
1748077200000,2025-05-24 09:00:00+00:00,108168.5,3.436e-05,54572.614,0.5722
1748080800000,2025-05-24 10:00:00+00:00,109089.9,3.436e-05,54743.472,0.5703
1748084400000,2025-05-24 11:00:00+00:00,109205.6,3.436e-05,54725.91,0.5728
1748088000000,2025-05-24 12:00:00+00:00,108782.6,3.436e-05,55412.212,0.5634
1748091600000,2025-05-24 13:00:00+00:00,108599.9,3.436e-05,55039.527,0.5635
1748095200000,2025-05-24 14:00:00+00:00,108951.2,3.436e-05,55252.33,0.5657
1748098800000,2025-05-24 15:00:00+00:00,108935.7,3.436e-05,55342.772,0.5726
1748102400000,2025-05-24 16:00:00+00:00,108996.6,4.126e-05,55332.437,0.571
1748106000000,2025-05-24 17:00:00+00:00,108913.7,4.126e-05,55557.53,0.5704
1748109600000,2025-05-24 18:00:00+00:00,108824.2,4.126e-05,55450.349,0.5712
1748113200000,2025-05-24 19:00:00+00:00,108951.8,4.126e-05,55450.991,0.5686
1748116800000,2025-05-24 20:00:00+00:00,108860.7,4.126e-05,55481.754,0.5689
1748120400000,2025-05-24 21:00:00+00:00,108835.0,4.126e-05,55626.886,0.5687
1748124000000,2025-05-24 22:00:00+00:00,108106.8,4.126e-05,55541.358,0.5668
1748127600000,2025-05-24 23:00:00+00:00,107763.1,4.126e-05,55151.715,0.5671
1748131200000,2025-05-25 00:00:00+00:00,107443.0,7.422e-05,56337.625,0.5749
1748134800000,2025-05-25 01:00:00+00:00,107655.9,7.422e-05,55884.001,0.577
1748138400000,2025-05-25 02:00:00+00:00,107924.9,7.422e-05,55859.684,0.579
1748142000000,2025-05-25 03:00:00+00:00,108108.0,7.422e-05,55654.627,0.5825
1748145600000,2025-05-25 04:00:00+00:00,108250.0,7.422e-05,56219.952,0.5839
1748149200000,2025-05-25 05:00:00+00:00,108115.4,7.422e-05,56475.965,0.5852
1748152800000,2025-05-25 06:00:00+00:00,107946.3,7.422e-05,56447.012,0.5838
1748156400000,2025-05-25 07:00:00+00:00,107680.0,7.422e-05,56596.815,0.5808
1748160000000,2025-05-25 08:00:00+00:00,107111.2,0.0001,56803.433,0.5829
1748163600000,2025-05-25 09:00:00+00:00,107140.4,0.0001,57226.866,0.5829
1748167200000,2025-05-25 10:00:00+00:00,106946.9,0.0001,57448.816,0.5884
1748170800000,2025-05-25 11:00:00+00:00,107253.3,0.0001,57503.601,0.5955
1748174400000,2025-05-25 12:00:00+00:00,107529.5,0.0001,57769.373,0.5985
1748178000000,2025-05-25 13:00:00+00:00,107525.1,0.0001,58763.662,0.6002
1748181600000,2025-05-25 14:00:00+00:00,107366.9,0.0001,59214.569,0.5999
1748185200000,2025-05-25 15:00:00+00:00,106976.9,0.0001,59394.633,0.5932
1748188800000,2025-05-25 16:00:00+00:00,107184.8,5.451e-05,58312.483,0.5893
1748192400000,2025-05-25 17:00:00+00:00,107365.5,5.451e-05,58369.672,0.5903
1748196000000,2025-05-25 18:00:00+00:00,107418.0,5.451e-05,58667.371,0.5906
1748199600000,2025-05-25 19:00:00+00:00,107712.0,5.451e-05,58629.648,0.5906
1748203200000,2025-05-25 20:00:00+00:00,107684.3,5.451e-05,58474.266,0.5969
1748206800000,2025-05-25 21:00:00+00:00,107462.7,5.451e-05,58470.596,0.5933
1748210400000,2025-05-25 22:00:00+00:00,109161.5,5.451e-05,58230.95,0.5932
1748214000000,2025-05-25 23:00:00+00:00,109001.3,5.451e-05,57874.54,0.5941
1748217600000,2025-05-26 00:00:00+00:00,109542.8,0.0001,57638.838,0.5891
1748221200000,2025-05-26 01:00:00+00:00,109550.0,0.0001,57961.385,0.5897
1748224800000,2025-05-26 02:00:00+00:00,109386.1,0.0001,57504.115,0.5766
1748228400000,2025-05-26 03:00:00+00:00,109627.0,0.0001,57033.273,0.5673
1748232000000,2025-05-26 04:00:00+00:00,109542.7,0.0001,56884.616,0.5636
1748235600000,2025-05-26 05:00:00+00:00,109640.4,0.0001,56857.46,0.559
1748239200000,2025-05-26 06:00:00+00:00,109932.7,0.0001,56959.422,0.5556
1748242800000,2025-05-26 07:00:00+00:00,110096.1,0.0001,57612.766,0.5579
1748246400000,2025-05-26 08:00:00+00:00,109670.0,0.0001,57511.461,0.5527
1748250000000,2025-05-26 09:00:00+00:00,109703.2,0.0001,57589.192,0.5432
1748253600000,2025-05-26 10:00:00+00:00,109641.8,0.0001,58136.885,0.5428
1748257200000,2025-05-26 11:00:00+00:00,109785.8,0.0001,58375.961,0.5394
1748260800000,2025-05-26 12:00:00+00:00,109822.2,0.0001,58137.843,0.5358
1748264400000,2025-05-26 13:00:00+00:00,109595.4,0.0001,57944.347,0.5346
1748268000000,2025-05-26 14:00:00+00:00,109670.9,0.0001,58364.529,0.529
1748271600000,2025-05-26 15:00:00+00:00,110016.9,0.0001,58680.42,0.5239
1748275200000,2025-05-26 16:00:00+00:00,109394.0,9.627e-05,59801.674,0.5265
1748278800000,2025-05-26 17:00:00+00:00,109180.0,9.627e-05,59196.588,0.5241
1748282400000,2025-05-26 18:00:00+00:00,109106.7,9.627e-05,58876.632,0.5201
1748286000000,2025-05-26 19:00:00+00:00,109121.6,9.627e-05,59204.129,0.5277
1748289600000,2025-05-26 20:00:00+00:00,109610.1,9.627e-05,59554.476,0.5282
1748293200000,2025-05-26 21:00:00+00:00,109350.0,9.627e-05,57899.034,0.5344
1748296800000,2025-05-26 22:00:00+00:00,109198.5,9.627e-05,58687.061,0.5349
1748300400000,2025-05-26 23:00:00+00:00,109440.0,9.627e-05,57940.439,0.5378
1748304000000,2025-05-27 00:00:00+00:00,109155.4,0.0001,58095.671,0.5397
1748307600000,2025-05-27 01:00:00+00:00,108394.7,0.0001,57999.965,0.5373
1748311200000,2025-05-27 02:00:00+00:00,108270.9,0.0001,56473.174,0.5543
1748314800000,2025-05-27 03:00:00+00:00,108876.1,0.0001,56327.22,0.5581
1748318400000,2025-05-27 04:00:00+00:00,108947.5,0.0001,56389.115,0.5533
1748322000000,2025-05-27 05:00:00+00:00,108910.1,0.0001,56285.462,0.5602
1748325600000,2025-05-27 06:00:00+00:00,108831.6,0.0001,56395.916,0.5602
1748329200000,2025-05-27 07:00:00+00:00,109537.9,0.0001,56077.197,0.5622
1748332800000,2025-05-27 08:00:00+00:00,109699.9,3.247e-05,55670.457,0.5636
1748336400000,2025-05-27 09:00:00+00:00,109838.4,3.247e-05,55063.745,0.5613
1748340000000,2025-05-27 10:00:00+00:00,109694.5,3.247e-05,55625.267,0.5607
1748343600000,2025-05-27 11:00:00+00:00,109596.4,3.247e-05,55703.665,0.5581
1748347200000,2025-05-27 12:00:00+00:00,109602.8,3.247e-05,56016.283,0.5564
1748350800000,2025-05-27 13:00:00+00:00,109848.1,3.247e-05,55799.407,0.5577
1748354400000,2025-05-27 14:00:00+00:00,109383.5,3.247e-05,57362.83,0.5499
1748358000000,2025-05-27 15:00:00+00:00,110140.0,3.247e-05,55846.296,0.5549
1748361600000,2025-05-27 16:00:00+00:00,110216.4,2.161e-05,56312.291,0.5561
1748365200000,2025-05-27 17:00:00+00:00,110242.0,2.161e-05,56991.695,0.5512
1748368800000,2025-05-27 18:00:00+00:00,109887.0,2.161e-05,57230.535,0.5475
1748372400000,2025-05-27 19:00:00+00:00,109879.9,2.161e-05,56637.379,0.5428
1748376000000,2025-05-27 20:00:00+00:00,109544.3,2.161e-05,56174.6,0.546
1748379600000,2025-05-27 21:00:00+00:00,108860.0,2.161e-05,57297.944,0.5483
1748383200000,2025-05-27 22:00:00+00:00,108994.2,2.161e-05,56290.366,0.5569
1748386800000,2025-05-27 23:00:00+00:00,108925.8,2.161e-05,58400.176,0.566
1748390400000,2025-05-28 00:00:00+00:00,109197.8,-0.00015645,58380.194,0.5698
1748394000000,2025-05-28 01:00:00+00:00,108662.1,-0.00015645,57848.528,0.5723
1748397600000,2025-05-28 02:00:00+00:00,108622.9,-0.00015645,58265.216,0.5756
1748401200000,2025-05-28 03:00:00+00:00,108856.0,-0.00015645,58411.768,0.5774
1748404800000,2025-05-28 04:00:00+00:00,108973.7,-0.00015645,58765.776,0.5827
1748408400000,2025-05-28 05:00:00+00:00,108982.3,-0.00015645,58893.231,0.586
1748412000000,2025-05-28 06:00:00+00:00,108722.9,-0.00015645,58880.115,0.5888
1748415600000,2025-05-28 07:00:00+00:00,108807.8,-0.00015645,58952.936,0.5889
1748419200000,2025-05-28 08:00:00+00:00,109032.9,-9.526e-05,58505.085,0.5908
1748422800000,2025-05-28 09:00:00+00:00,108798.0,-9.526e-05,58627.994,0.5904
