feature,importance
rsi,0.08663868
ema_slope_5,0.05272345
adx,0.04560667
volatility_20,0.034241945
distance_ema50,0.033474624
return_5,0.033239987
distance_ema20,0.03272446
momentum_10_atr,0.031630494
ema_gap_50_100,0.031131651
ema_slope_10,0.030304655
distance_ema100,0.029677827
ema_cross,0.029578434
ema50,0.029441228
ema20,0.02940216
ema100,0.027051754
rsi_overbought,0.026611889
return_10,0.02616976
volatility_10,0.024958663
rsi_oversold,0.02400068
atr,0.02350466
volatility_ratio,0.023332618
ema_gap_20_50,0.023233416
momentum_10,0.022951335
volume_ratio,0.021053346
rsi_above_50,0.020251239
momentum_5,0.018973678
europe_hours,0.017678395
momentum_3_atr,0.017412217
momentum_5_atr,0.01727072
return_3,0.01705848
momentum_3,0.01698702
hour_utc,0.016073253
volume_change,0.01521354
price_above_ema50,0.015204161
price_above_ema20,0.014858261
us_hours,0.014097601
asia_hours,0.013332831
return_1,0.012904284
price_above_ema100,0.0
