feature,importance
return_1,0.046303138
ema20,0.041582253
adx,0.039624214
momentum_3_atr,0.03769429
volume_ratio,0.036139242
return_10,0.03476712
ema50,0.034432042
ema_gap_20_50,0.033704344
volatility_10,0.03287655
ema100,0.031971473
price_above_ema100,0.031249804
distance_ema20,0.030832054
distance_ema50,0.030728899
ema_gap_50_100,0.030105468
momentum_3,0.029292788
volatility_20,0.029064704
volatility_ratio,0.028323906
ema_slope_5,0.028094448
volume_change,0.027353305
hour_utc,0.027321177
return_3,0.027307661
europe_hours,0.027203675
distance_ema100,0.026748247
us_hours,0.02637345
momentum_5_atr,0.026237683
momentum_10,0.025488805
atr,0.025180105
momentum_10_atr,0.024688905
ema_slope_10,0.02427133
momentum_5,0.023751482
return_5,0.022512041
asia_hours,0.020187072
rsi,0.019704808
ema_cross,0.018883426
price_above_ema20,0.0
price_above_ema50,0.0
rsi_oversold,0.0
rsi_above_50,0.0
rsi_overbought,0.0
