bar_idx,datetime,regime_current,regime_forward,fwd_conf,strategy,direction,entry,exit,outcome,bars_held,notional,net_pnl,equity_after,reasoning
511,2026-03-22 13:03:25.305000+00:00,Ranging,Ranging,0.9009,mean_reversion,BUY,0.7304948531273745,0.7251927108542179,SL,3,950.0,-8.7954,991.2,BUY mean-reversion: RSI 21.1 <= 25.0 and close 0.7305 below EMA20 0.7393.
656,2026-03-28 14:02:18.869000+00:00,Ranging,Ranging,0.7929,mean_reversion,SELL,0.6847972276585602,0.6814761876005677,TP,1,941.64,2.6834,993.89,SELL mean-reversion: RSI 78.7 >= 75.0 and close 0.6848 above EMA20 0.6776.
672,2026-03-29 06:02:12.996000+00:00,Trending_Down,Ranging,0.8617,mean_reversion,BUY,0.6743372423071362,0.6777966089055054,TP,5,944.19,2.9553,996.84,BUY mean-reversion: RSI 21.9 <= 25.0 and close 0.6743 below EMA20 0.6766.
938,2026-04-09 08:02:39.960000+00:00,Trending_Down,Ranging,0.7589,mean_reversion,BUY,0.6577548913604401,0.6641887348509921,TP,8,947.0,7.3691,1004.21,BUY mean-reversion: RSI 20.1 <= 25.0 and close 0.6578 below EMA20 0.6624.
992,2026-04-11 13:46:29.364000+00:00,Ranging,Ranging,0.8475,mean_reversion,BUY,0.6758151033707525,0.6810474700374295,TP,4,954.0,5.4782,1009.69,BUY mean-reversion: RSI 19.2 <= 25.0 and close 0.6758 below EMA20 0.6791.
1083,2026-04-15 04:01:21.041000+00:00,Ranging,Ranging,0.7535,mean_reversion,BUY,0.6558136416686263,0.6562150307974709,TIMEOUT,8,959.21,-1.3313,1008.36,BUY mean-reversion: RSI 16.8 <= 25.0 and close 0.6558 below EMA20 0.6627.
1245,2026-04-21 22:00:03.855000+00:00,Ranging,Ranging,0.9261,mean_reversion,BUY,0.6245117003896328,0.6310433250027747,TP,2,957.94,8.103,1016.46,BUY mean-reversion: RSI 22.3 <= 25.0 and close 0.6245 below EMA20 0.6326.
1296,2026-04-24 01:01:03.957000+00:00,Ranging,Ranging,0.652,mean_reversion,SELL,0.6487418838934365,0.6492013728758774,TIMEOUT,8,965.64,-2.6152,1013.85,SELL mean-reversion: RSI 76.9 >= 75.0 and close 0.6487 above EMA20 0.6416.
1434,2026-04-29 19:00:13.790000+00:00,Ranging,Ranging,0.6922,mean_reversion,BUY,0.6221883257331011,0.6238931280564552,TIMEOUT,8,963.15,0.7127,1014.56,BUY mean-reversion: RSI 21.0 <= 25.0 and close 0.6222 below EMA20 0.6309.
1527,2026-05-03 16:00:27.384000+00:00,Ranging,Ranging,0.8691,mean_reversion,SELL,0.6336966500742867,0.6316739370892669,TIMEOUT,8,963.83,1.1488,1015.71,SELL mean-reversion: RSI 75.9 >= 75.0 and close 0.6337 above EMA20 0.6314.
1642,2026-05-08 11:00:28.269000+00:00,Ranging,Ranging,0.6672,mean_reversion,SELL,0.6668259747634868,0.6641853623281049,TP,3,964.92,1.8912,1017.6,SELL mean-reversion: RSI 76.3 >= 75.0 and close 0.6668 above EMA20 0.6638.
1695,2026-05-10 16:00:42.968000+00:00,Ranging,Ranging,0.6769,mean_reversion,SELL,0.6906781132296594,0.6922028711024606,SL,1,966.72,-4.0676,1013.53,SELL mean-reversion: RSI 86.5 >= 75.0 and close 0.6907 above EMA20 0.6852.
2091,2026-05-27 04:00:50.693000+00:00,Trending_Down,Ranging,0.684,mean_reversion,BUY,0.6353680739319412,0.636705743594084,TIMEOUT,8,962.86,0.1014,1013.63,BUY mean-reversion: RSI 22.7 <= 25.0 and close 0.6354 below EMA20 0.6391.
