bar_idx,datetime,market_state,selection_reason,strategy,fwd_conf,direction,entry,exit,outcome,bars_held,notional,net_pnl,equity_after
106,2026-03-06 05:02:43.691000+00:00,ranging,"RANGING: P(Ranging)=0.66, ADX=28.5, sentiment=+0.01 -> MEAN REVERSION",mean_reversion,0.6635,BUY,0.6989146993759386,0.6938198412578915,SL,5,950.0,-8.8252,991.17
213,2026-03-12 20:00:08.559000+00:00,strong_bull,"STRONG BULL: ADX=66.5, P(trend)=0.95, 2 bullish votes (score 0.72) -> MOMENTUM",momentum_breakout,0.9434,BUY,0.7167641622494283,0.7232543878166215,TP,6,941.62,6.643,997.82
226,2026-03-13 11:02:24.339000+00:00,strong_bull,"STRONG BULL: ADX=69.8, P(trend)=0.90, 2 bullish votes (score 0.69) -> MOMENTUM",momentum_breakout,0.89,BUY,0.7286650409123364,0.7244049157445,SL,5,947.93,-7.4379,990.38
242,2026-03-15 04:09:40.069000+00:00,strong_bull,"STRONG BULL: ADX=95.0, P(trend)=0.83, 2 bullish votes (score 0.65) -> MOMENTUM",momentum_breakout,0.8117,BUY,0.790524986471894,0.7792315425676336,SL,1,693.25,-11.2903,979.09
350,2026-03-22 13:03:25.305000+00:00,ranging,"RANGING: P(Ranging)=0.90, ADX=38.9, sentiment=-0.01 -> MEAN REVERSION",mean_reversion,0.9024,BUY,0.7304948531273745,0.7251927108542179,SL,3,930.14,-8.6115,970.48
435,2026-03-28 14:02:18.869000+00:00,ranging,"RANGING: P(Ranging)=0.79, ADX=39.7, sentiment=+0.12 -> MEAN REVERSION",mean_reversion,0.7894,SELL,0.6847972276585602,0.6814761876005677,TP,1,921.95,2.6273,973.11
554,2026-04-05 12:03:55.120000+00:00,strong_bear,"STRONG BEAR: ADX=84.9, P(trend)=0.92, 2 bearish votes (score 0.67) -> MOMENTUM",momentum_breakout,0.8834,SELL,0.6573251633133119,0.6539094820528137,TP,1,924.45,2.9549,976.06
639,2026-04-11 13:46:29.364000+00:00,ranging,"RANGING: P(Ranging)=0.85, ADX=50.8, sentiment=-0.07 -> MEAN REVERSION",mean_reversion,0.8475,BUY,0.6758151033707525,0.6810474700374295,TP,4,927.26,5.3246,981.38
680,2026-04-14 04:00:36.904000+00:00,strong_bull,"STRONG BULL: ADX=65.2, P(trend)=0.96, 2 bullish votes (score 0.72) -> MOMENTUM",momentum_breakout,0.9475,BUY,0.6829692901026246,0.6793802682375804,SL,7,932.32,-6.764,974.62
806,2026-04-21 22:00:03.855000+00:00,ranging,"RANGING: P(Ranging)=0.93, ADX=37.8, sentiment=-0.11 -> MEAN REVERSION",mean_reversion,0.9261,BUY,0.6245117003896328,0.6310433250027747,TP,2,925.89,7.8319,982.45
883,2026-04-27 16:00:15.068000+00:00,strong_bear,"STRONG BEAR: ADX=55.9, P(trend)=0.95, 2 bearish votes (score 0.72) -> MOMENTUM",momentum_breakout,0.9429,SELL,0.6331971319017047,0.6297444835988468,TIMEOUT,8,933.33,3.2225,985.68
959,2026-05-03 18:00:27.978000+00:00,ranging,"RANGING: P(Ranging)=0.94, ADX=32.4, sentiment=+0.01 -> MEAN REVERSION",mean_reversion,0.9371,SELL,0.633425414146216,0.6311041218125039,TP,3,936.39,1.5588,987.23
1027,2026-05-08 11:00:28.269000+00:00,ranging,"RANGING: P(Ranging)=0.67, ADX=35.1, sentiment=+0.04 -> MEAN REVERSION",mean_reversion,0.6672,SELL,0.6668259747634868,0.6641853623281049,TP,3,937.87,1.8382,989.07
1168,2026-05-18 15:00:06.886000+00:00,strong_bear,"STRONG BEAR: ADX=61.4, P(trend)=0.78, 2 bearish votes (score 0.60) -> MOMENTUM",momentum_breakout,0.7401,SELL,0.62290013081103,0.6265036274943999,SL,2,939.62,-7.315,981.76
