timestamp,asset,mode,score,read
1780324895275,WMNT,CONTRACT,37,🔴 sell-pressure
1780324895275,mETH,CONTRACT,48,⚪ balanced
1780324895275,cmETH,CONTRACT,47,⚪ balanced
1780324895275,USDe,CONTRACT,85,🟢 buy-pressure
1780324895275,FBTC,CONTRACT,31,🔴 sell-pressure
1780324895275,BTC,POSITIONING,50,
1780324895275,ETH,POSITIONING,50,
1780324895275,SOL,POSITIONING,50,
1780324959674,WMNT,CONTRACT,37,🔴 sell-pressure
1780324959674,mETH,CONTRACT,48,⚪ balanced
1780324959674,cmETH,CONTRACT,47,⚪ balanced
1780324959674,USDe,CONTRACT,85,🟢 buy-pressure
1780324959674,FBTC,CONTRACT,31,🔴 sell-pressure
1780324959674,BTC,POSITIONING,50,
1780324959674,ETH,POSITIONING,50,
1780324959674,SOL,POSITIONING,50,
1780325074234,WMNT,CONTRACT,36,🔴 sell-pressure
1780325074234,mETH,CONTRACT,48,⚪ balanced
1780325074234,cmETH,CONTRACT,47,⚪ balanced
1780325074234,USDe,CONTRACT,85,🟢 buy-pressure
1780325074234,FBTC,CONTRACT,31,🔴 sell-pressure
1780325074234,BTC,POSITIONING,43,⚪ neutral
1780325074234,ETH,POSITIONING,25,🔴 contrarian-bear / crowded-long
1780325074234,SOL,POSITIONING,22,🔴 contrarian-bear / crowded-long
